homeName,awayName,outcome1,outcomeX,outcome2,outcomeOver,outcomeUnder,outcomeGG,outcomeNG,homeId,awayId
Cagliari,Lazio,3.65,3.45,1.94,1.74,1.94,1.62,2.11,3,11
Fiorentina,Inter Milan,4.85,3.45,1.72,2.03,1.67,1.88,1.8,6,9
Como,Juventus,3.8,3.4,1.97,1.93,1.75,1.75,1.92,4,10
Hellas Verona,Atalanta,7.0,4.4,1.45,1.7,1.99,1.88,1.79,8,1
Sassuolo,Ac Milan,5.1,3.8,1.65,1.7,2.02,1.65,2.1,17,0
Torino,Genoa,2.35,2.76,3.45,2.52,1.44,2.03,1.67,18,7
Pisa,Roma,4.1,3.5,1.81,1.75,1.93,1.67,2.04,15,16
Lazio,Cremonese,1.3,5.2,9.8,1.52,2.31,1.98,1.71,11,5
Cagliari,Parma,1.85,3.55,4.2,1.68,2.02,1.6,2.15,3,14
Lecce,Bologna,4.25,3.1,1.92,2.2,1.57,1.96,1.73,12,2
Napoli,Udinese,1.47,4.15,7.3,1.86,1.81,2.06,1.65,13,19
Inter Milan,Fiorentina,1.42,4.55,6.4,1.67,2.04,1.83,1.83,9,6
Bologna,Torino,1.71,3.3,5.3,2.31,1.52,2.16,1.59,2,18
Atalanta,Cagliari,1.5,4.3,6.0,1.66,2.05,1.74,1.94,1,3
Lazio,Napoli,2.36,2.9,3.2,2.15,1.6,1.79,1.89,11,13
Ac Milan,Hellas Verona,1.3,5.3,8.2,1.56,2.22,1.87,1.8,0,8
Fiorentina,Como,2.35,3.1,3.15,1.94,1.77,1.66,2.08,6,4
Cremonese,Lecce,2.8,3.0,2.7,2.26,1.55,1.9,1.78,5,12
Udinese,Sassuolo,1.87,3.35,4.4,2.0,1.7,1.82,1.85,19,17
Parma,Roma,3.6,3.35,2.05,1.73,1.95,1.59,2.17,14,16
Juventus,Inter Milan,3.85,3.2,2.05,1.88,1.79,1.69,2.01,10,9
Genoa,Pisa,1.85,3.3,4.7,2.25,1.57,2.05,1.66,7,15
Lecce,Udinese,2.95,3.05,2.6,2.23,1.59,1.79,1.88,12,19
Pisa,Lazio,5.6,3.9,1.55,1.75,1.92,1.84,1.83,15,11
Parma,Bologna,4.45,3.6,1.73,1.83,1.84,1.75,1.92,14,2
Torino,Ac Milan,4.0,3.55,1.87,1.74,1.94,1.65,2.06,18,0
Inter Milan,Genoa,1.28,5.25,10.5,1.72,1.97,2.22,1.56,9,7
Como,Napoli,3.5,3.05,2.25,2.21,1.57,1.9,1.77,4,13
Hellas Verona,Fiorentina,3.75,3.1,2.03,2.12,1.62,1.89,1.79,8,6
Sassuolo,Atalanta,6.0,4.45,1.48,1.59,2.17,1.69,2.02,17,1
Cagliari,Juventus,4.5,3.4,1.78,2.05,1.67,1.87,1.83,3,10
Roma,Cremonese,1.25,5.5,11.0,1.64,2.08,2.22,1.56,16,5
Bologna,Ac Milan,2.9,3.1,2.41,1.91,1.77,1.68,2.02,2,0
Fiorentina,Lecce,1.85,3.15,4.5,2.28,1.54,2.03,1.67,6,12
Atalanta,Pisa,1.17,6.8,12.75,1.44,2.54,1.99,1.7,1,15
Napoli,Inter Milan,3.1,3.0,2.5,2.07,1.72,1.73,1.95,13,9
Udinese,Parma,1.87,3.55,4.15,1.77,1.91,1.68,2.02,19,14
Cremonese,Torino,4.4,3.25,1.9,2.2,1.57,2.0,1.7,5,18
Bologna,Cagliari,1.68,3.4,5.2,2.1,1.63,1.99,1.7,2,3
Genoa,Sassuolo,1.92,3.2,4.3,2.21,1.6,1.97,1.72,7,17
